T_tokens,a_init_mean,a_init_sd,a_shuffle_mean,a_shuffle_sd,Linf_mean,Linf_sd
19988480,0.133907,0.025951,0.169372,0.019609,6.386373,0.013030
39976960,0.143385,0.028410,0.185101,0.020850,5.828696,0.015885
59965440,0.149449,0.023256,0.184784,0.019933,5.431730,0.013102
79953920,0.162137,0.019837,0.194402,0.019324,5.157425,0.012957
99942400,0.168161,0.017442,0.194526,0.015453,4.951463,0.009747
119930880,0.184316,0.015674,0.194613,0.013804,4.780263,0.008462
139919360,0.180947,0.011268,0.193667,0.010194,4.646008,0.006099
159907840,0.198347,0.010420,0.190210,0.007918,4.542917,0.004638
179896320,0.209295,0.010665,0.206650,0.007109,4.461737,0.004807
199884800,0.220498,0.010101,0.222792,0.006093,4.390239,0.004863
219873280,0.238930,0.009468,0.238498,0.006543,4.331205,0.004520
239861760,0.258730,0.007939,0.263840,0.007087,4.279639,0.004021
259850240,0.272117,0.007494,0.281511,0.006402,4.242568,0.003861
279838720,0.297093,0.007130,0.298786,0.006142,4.213543,0.003941
299827200,0.315088,0.006876,0.319612,0.006101,4.189945,0.003899
319815680,0.338656,0.006800,0.340014,0.005725,4.170330,0.004224
339804160,0.357340,0.007197,0.363463,0.005658,4.153490,0.004335
359792640,0.379552,0.006899,0.380291,0.005587,4.144050,0.004729
379781120,0.401528,0.007392,0.402227,0.005860,4.133440,0.004913
399769600,0.419430,0.006124,0.428059,0.005522,4.120945,0.004949
419758080,0.441877,0.006874,0.447826,0.005750,4.115113,0.005472
439746560,0.461022,0.006441,0.466554,0.005448,4.109806,0.005746
459735040,0.470215,0.005628,0.482013,0.006194,4.108528,0.005915
479723520,0.493995,0.006842,0.496609,0.005983,4.106503,0.006350
499712000,0.506469,0.006646,0.522127,0.005803,4.100777,0.005927
519700480,0.515124,0.005729,0.522574,0.005710,4.101702,0.006631
539688960,0.531312,0.006726,0.541914,0.005821,4.095724,0.006754
559677440,0.548885,0.007057,0.553131,0.005831,4.099472,0.006929
579665920,0.562639,0.006848,0.575581,0.006726,4.096430,0.007331
599654400,0.577351,0.008059,0.588242,0.007020,4.096070,0.007338
619642880,0.586003,0.007263,0.599571,0.006580,4.099247,0.008122
639631360,0.609950,0.008263,0.622376,0.006028,4.095985,0.008535
659619840,0.615864,0.007919,0.628863,0.006260,4.100891,0.007807
679608320,0.622969,0.006415,0.647617,0.007333,4.100325,0.008488
699596800,0.635514,0.007692,0.652333,0.008172,4.108389,0.008480
719585280,0.649483,0.007148,0.670368,0.007352,4.106658,0.008471
739573760,0.661951,0.006527,0.682789,0.007406,4.105372,0.009093
759562240,0.676724,0.007356,0.693122,0.007131,4.109461,0.008933
779550720,0.693171,0.007768,0.714016,0.007751,4.107970,0.010209
799539200,0.714263,0.007816,0.737208,0.008645,4.100273,0.009771
