T_tokens,init_a_T,init_a_T_se,init_Linf_T,shuffle_a_T,shuffle_a_T_se,shuffle_Linf_T
19988480,0.135752,0.011823,6.369805,0.171015,0.012044,6.369805
39976960,0.137933,0.011824,5.814234,0.184629,0.012044,5.814234
59965440,0.151540,0.011824,5.420382,0.187271,0.012045,5.420382
79953920,0.166988,0.011825,5.146132,0.199057,0.012046,5.146132
99942400,0.175744,0.011825,4.939340,0.196507,0.012047,4.939340
119930880,0.189319,0.011825,4.772319,0.202473,0.012048,4.772319
139919360,0.179097,0.011825,4.640316,0.202496,0.012047,4.640316
159907840,0.198715,0.011824,4.537433,0.193332,0.012048,4.537433
179896320,0.210059,0.011826,4.456557,0.211633,0.012049,4.456557
199884800,0.222156,0.011827,4.387191,0.227592,0.012050,4.387191
219873280,0.240904,0.011829,4.329310,0.242222,0.012052,4.329310
239861760,0.261699,0.011831,4.277347,0.265913,0.012054,4.277347
259850240,0.273955,0.011833,4.240519,0.282289,0.012055,4.240519
279838720,0.298277,0.011835,4.212126,0.302206,0.012058,4.212126
299827200,0.316323,0.011837,4.189136,0.319271,0.012060,4.189136
319815680,0.338158,0.011840,4.170038,0.341587,0.012063,4.170038
339804160,0.356654,0.011843,4.154092,0.362573,0.012066,4.154092
359792640,0.378497,0.011846,4.144500,0.380740,0.012069,4.144500
379781120,0.399789,0.011849,4.133866,0.403677,0.012072,4.133866
399769600,0.420218,0.011853,4.120087,0.428429,0.012075,4.120087
419758080,0.441234,0.011857,4.116920,0.447685,0.012079,4.116920
439746560,0.460790,0.011860,4.110674,0.466795,0.012082,4.110674
459735040,0.469036,0.011863,4.108903,0.482822,0.012084,4.108903
479723520,0.493362,0.011865,4.109146,0.495789,0.012088,4.109146
499712000,0.504506,0.011871,4.100418,0.522700,0.012090,4.100418
519700480,0.515369,0.011871,4.103109,0.521999,0.012093,4.103109
539688960,0.528873,0.011875,4.097174,0.542928,0.012095,4.097174
559677440,0.543628,0.011877,4.100806,0.553746,0.012098,4.100806
579665920,0.561308,0.011883,4.096581,0.577532,0.012102,4.096581
599654400,0.572625,0.011886,4.097771,0.591631,0.012105,4.097771
619642880,0.582872,0.011888,4.104354,0.598046,0.012107,4.104354
639631360,0.604905,0.011893,4.099990,0.622201,0.012112,4.099990
659619840,0.611553,0.011896,4.103084,0.630896,0.012114,4.103084
679608320,0.623485,0.011900,4.100908,0.646949,0.012116,4.100908
699596800,0.631169,0.011900,4.113260,0.648111,0.012118,4.113260
719585280,0.644596,0.011906,4.107397,0.672379,0.012121,4.107397
739573760,0.658847,0.011908,4.109303,0.680767,0.012125,4.109303
759562240,0.676998,0.011912,4.112462,0.694564,0.012130,4.112462
779550720,0.694975,0.011917,4.111308,0.712709,0.012135,4.111308
799539200,0.709088,0.011923,4.103272,0.733362,0.012139,4.103272
