T_tokens,epoch,init_a_T,init_a_T_se,shuffle_a_T,shuffle_a_T_se,Linf_T,Linf_T_se
19922944,0,0.101120,0.024816,0.000000,0.027879,6.408076,0.010864
39845888,0,0.117143,0.024822,0.000000,0.027891,5.870249,0.010870
59768832,1,0.117488,0.024801,0.048047,0.027870,5.466665,0.010895
79691776,1,0.155236,0.024800,0.080807,0.027881,5.180031,0.010944
99614720,1,0.144740,0.024800,0.107446,0.027865,4.973085,0.010960
119537664,1,0.161250,0.024799,0.096960,0.027878,4.810874,0.010964
139460608,1,0.161950,0.024799,0.108360,0.027874,4.684896,0.010976
159383552,2,0.153851,0.024799,0.106278,0.027870,4.585448,0.010967
179306496,2,0.168041,0.024799,0.113731,0.027876,4.495613,0.010987
199229440,2,0.174676,0.024799,0.108230,0.027883,4.418389,0.010987
219152384,2,0.185710,0.024800,0.121037,0.027885,4.341471,0.011012
239075328,2,0.190038,0.024800,0.123315,0.027887,4.281589,0.011019
258998272,3,0.182741,0.024800,0.112196,0.027887,4.225714,0.010999
278921216,3,0.181899,0.024800,0.116042,0.027884,4.172625,0.011002
298844160,3,0.171967,0.024799,0.110593,0.027880,4.128775,0.010987
318767104,3,0.199016,0.024800,0.128516,0.027891,4.076228,0.011034
338690048,3,0.193193,0.024800,0.124308,0.027889,4.044562,0.011023
358612992,4,0.193450,0.024800,0.124389,0.027889,4.011112,0.011023
378535936,4,0.194103,0.024800,0.118390,0.027892,3.984414,0.011017
398458880,4,0.188442,0.024800,0.122374,0.027886,3.954783,0.011016
418381824,4,0.204625,0.024801,0.137278,0.027891,3.923193,0.011051
438304768,4,0.206642,0.024801,0.137447,0.027893,3.899674,0.011054
458227712,5,0.198941,0.024800,0.126961,0.027892,3.885324,0.011032
478150656,5,0.203476,0.024800,0.132757,0.027893,3.863309,0.011044
498073600,5,0.199019,0.024800,0.134214,0.027889,3.845593,0.011041
517996544,5,0.217710,0.024801,0.149282,0.027896,3.818214,0.011082
537919488,5,0.219000,0.024802,0.157967,0.027893,3.802377,0.011096
557842432,6,0.217859,0.024802,0.154917,0.027893,3.788794,0.011090
577765376,6,0.210624,0.024802,0.153935,0.027888,3.777326,0.011080
597688320,6,0.216219,0.024802,0.153108,0.027893,3.764464,0.011086
617611264,6,0.235484,0.024807,0.187045,0.027892,3.741930,0.011161
637534208,6,0.231693,0.024808,0.185427,0.027889,3.731628,0.011153
657457152,7,0.233286,0.024808,0.187094,0.027890,3.723848,0.011158
677380096,7,0.223744,0.024806,0.174661,0.027888,3.718240,0.011126
697303040,7,0.222273,0.024807,0.177826,0.027886,3.708799,0.011129
717225984,7,0.253679,0.024813,0.210751,0.027895,3.687639,0.011226
737148928,7,0.250620,0.024813,0.209107,0.027893,3.684158,0.011219
757071872,8,0.242257,0.024811,0.201032,0.027890,3.680419,0.011193
776994816,8,0.235620,0.024817,0.210237,0.027882,3.672992,0.011200
796917760,8,0.236882,0.024814,0.204944,0.027885,3.664471,0.011192
816840704,8,0.270741,0.024827,0.246993,0.027891,3.649854,0.011320
836763648,8,0.273580,0.024824,0.243999,0.027894,3.641101,0.011319
856686592,9,0.261488,0.024822,0.233671,0.027890,3.641462,0.011280
876609536,9,0.258223,0.024821,0.228915,0.027890,3.640287,0.011266
896532480,9,0.259557,0.024822,0.231986,0.027889,3.631738,0.011274
916455424,9,0.293509,0.024835,0.270622,0.027898,3.620249,0.011407
936378368,9,0.291629,0.024839,0.275726,0.027894,3.615638,0.011415
956301312,10,0.283658,0.024833,0.262244,0.027894,3.616858,0.011372
976224256,10,0.277445,0.024836,0.262710,0.027889,3.609879,0.011363
996147200,10,0.278482,0.024836,0.264181,0.027889,3.605671,0.011368
1016070144,10,0.320412,0.024857,0.312270,0.027899,3.595468,0.011550
1035993088,10,0.310948,0.024847,0.296275,0.027899,3.596959,0.011495
1055916032,11,0.304385,0.024849,0.295152,0.027895,3.591334,0.011480
1075838976,11,0.295656,0.024849,0.289153,0.027891,3.590263,0.011451
1095761920,11,0.290660,0.024848,0.285652,0.027889,3.589257,0.011434
1115684864,11,0.334997,0.024873,0.336715,0.027899,3.578662,0.011638
1135607808,11,0.326689,0.024875,0.333603,0.027894,3.578499,0.011614
1155530752,12,0.316045,0.024863,0.316435,0.027894,3.581967,0.011551
1175453696,12,0.313440,0.024867,0.318469,0.027891,3.576206,0.011551
1195376640,12,0.305371,0.024860,0.306841,0.027890,3.574312,0.011509
1215299584,12,0.358151,0.024892,0.367327,0.027904,3.565020,0.011766
1235222528,12,0.357513,0.024894,0.368328,0.027903,3.559037,0.011768
1255145472,13,0.342120,0.024895,0.360020,0.027894,3.563246,0.011713
1275068416,13,0.342316,0.024882,0.349613,0.027899,3.560746,0.011686
1294991360,13,0.329497,0.024888,0.347109,0.027891,3.562053,0.011653
1314914304,13,0.382799,0.024916,0.400470,0.027908,3.556386,0.011914
1334837248,13,0.376374,0.024907,0.389441,0.027908,3.555564,0.011868
1354760192,14,0.371085,0.024909,0.388218,0.027904,3.550569,0.011852
1374683136,14,0.367669,0.024892,0.372775,0.027909,3.552580,0.011802
1394606080,14,0.347535,0.024891,0.359859,0.027899,3.552967,0.011724
1414529024,14,0.404915,0.024948,0.435697,0.027910,3.541229,0.012070
1434451968,14,0.396025,0.024951,0.431915,0.027904,3.549966,0.012037
1454374912,15,0.385064,0.024930,0.411449,0.027905,3.549527,0.011950
1474297856,15,0.368858,0.024920,0.394786,0.027900,3.549334,0.011865
