strategy,fit,param,value,se
init_ens,free_dE,a,2.276019,0.122340
init_ens,free_dE,b,0.149170,0.032698
init_ens,free_dE,c,0.001405,0.000330
init_ens,free_dE,r_t,0.361069,0.016185
init_ens,free_dE,r_param,0.432951,0.067682
init_ens,free_dE,δ_E,0.574185,0.023774
init_ens,free_dE,δ_N,0.875746,0.034960
init_ens,free_dE,δ_L,0.485233,0.021501
init_ens,free_dE,δ,2.000000,0.068290
init_ens,free_dE,L_0,2.500000,0.133418
init_ens,free_dE,sigma,0.024216,
init_ens,free_dE,r2,0.947267,
init_ens,free_dE,n_obs,2000,
init_ens,free_dE,n_params,10,
init_ens,pinned_dE,a,2.243456,0.084706
init_ens,pinned_dE,b,0.216883,0.069049
init_ens,pinned_dE,c,0.001355,0.000232
init_ens,pinned_dE,r_t,0.348548,0.012524
init_ens,pinned_dE,r_param,0.275562,0.076500
init_ens,pinned_dE,δ_N,0.978196,0.034016
init_ens,pinned_dE,δ_L,0.552612,0.022620
init_ens,pinned_dE,δ,2.000000,0.054472
init_ens,pinned_dE,L_0,2.500000,0.099804
init_ens,pinned_dE,sigma,0.026705,
init_ens,pinned_dE,r2,0.941271,
init_ens,pinned_dE,n_obs,2000,
init_ens,pinned_dE,n_params,9,
init_shuffle_ens,free_dE,a,2.239033,0.118683
init_shuffle_ens,free_dE,b,0.146850,0.029744
init_shuffle_ens,free_dE,c,0.001508,0.000342
init_shuffle_ens,free_dE,r_t,0.371390,0.016316
init_shuffle_ens,free_dE,r_param,0.461976,0.064962
init_shuffle_ens,free_dE,δ_E,0.591742,0.023751
init_shuffle_ens,free_dE,δ_N,0.838384,0.032743
init_shuffle_ens,free_dE,δ_L,0.480805,0.020883
init_shuffle_ens,free_dE,δ,2.000000,0.066200
init_shuffle_ens,free_dE,L_0,2.500000,0.128714
init_shuffle_ens,free_dE,sigma,0.024774,
init_shuffle_ens,free_dE,r2,0.946784,
init_shuffle_ens,free_dE,n_obs,2000,
init_shuffle_ens,free_dE,n_params,10,
init_shuffle_ens,pinned_dE,a,1.847026,0.066400
init_shuffle_ens,pinned_dE,b,0.113822,0.033654
init_shuffle_ens,pinned_dE,c,0.001317,0.000257
init_shuffle_ens,pinned_dE,r_t,0.409514,0.013785
init_shuffle_ens,pinned_dE,r_param,0.434018,0.098641
init_shuffle_ens,pinned_dE,δ_N,0.990495,0.039208
init_shuffle_ens,pinned_dE,δ_L,0.587201,0.027174
init_shuffle_ens,pinned_dE,δ,2.000000,0.062590
init_shuffle_ens,pinned_dE,L_0,2.956826,0.067151
init_shuffle_ens,pinned_dE,sigma,0.030006,
init_shuffle_ens,pinned_dE,r2,0.930241,
init_shuffle_ens,pinned_dE,n_obs,2000,
init_shuffle_ens,pinned_dE,n_params,9,
