strategy,fit,param,value,se
init_ens,free_dE,a,2.295129,0.152760
init_ens,free_dE,b,0.232689,0.041714
init_ens,free_dE,c,0.000008,0.000002
init_ens,free_dE,r_t,0.375074,0.028448
init_ens,free_dE,r_param,0.276485,0.042700
init_ens,free_dE,δ_E,0.627167,0.014178
init_ens,free_dE,δ_param,-0.546234,0.011867
init_ens,free_dE,δ,3.629291,0.067947
init_ens,free_dE,L_0,2.500000,0.161824
init_ens,free_dE,sigma,0.015751,
init_ens,free_dE,r2,0.947947,
init_ens,free_dE,n_obs,1787,
init_ens,free_dE,n_params,9,
init_ens,pinned_dE,a,1.292651,0.037072
init_ens,pinned_dE,b,0.059057,0.012203
init_ens,pinned_dE,c,0.000000,0.000000
init_ens,pinned_dE,r_t,0.677306,0.027006
init_ens,pinned_dE,r_param,0.592421,0.082290
init_ens,pinned_dE,δ_param,-0.653783,0.013129
init_ens,pinned_dE,δ,4.604464,0.082927
init_ens,pinned_dE,L_0,3.649248,0.038112
init_ens,pinned_dE,sigma,0.018508,
init_ens,pinned_dE,r2,0.926678,
init_ens,pinned_dE,n_obs,1787,
init_ens,pinned_dE,n_params,8,
init_shuffle_ens,free_dE,a,2.268566,0.142510
init_shuffle_ens,free_dE,b,0.227040,0.035349
init_shuffle_ens,free_dE,c,0.000015,0.000003
init_shuffle_ens,free_dE,r_t,0.394133,0.027719
init_shuffle_ens,free_dE,r_param,0.310338,0.040350
init_shuffle_ens,free_dE,δ_E,0.623696,0.014370
init_shuffle_ens,free_dE,δ_param,-0.515152,0.011379
init_shuffle_ens,free_dE,δ,3.452215,0.065200
init_shuffle_ens,free_dE,L_0,2.500000,0.150444
init_shuffle_ens,free_dE,sigma,0.016481,
init_shuffle_ens,free_dE,r2,0.949309,
init_shuffle_ens,free_dE,n_obs,1804,
init_shuffle_ens,free_dE,n_params,9,
init_shuffle_ens,pinned_dE,a,1.308671,0.037370
init_shuffle_ens,pinned_dE,b,0.064953,0.012224
init_shuffle_ens,pinned_dE,c,0.000001,0.000000
init_shuffle_ens,pinned_dE,r_t,0.679094,0.026058
init_shuffle_ens,pinned_dE,r_param,0.608730,0.075900
init_shuffle_ens,pinned_dE,δ_param,-0.621969,0.012748
init_shuffle_ens,pinned_dE,δ,4.440301,0.081126
init_shuffle_ens,pinned_dE,L_0,3.593986,0.038041
init_shuffle_ens,pinned_dE,sigma,0.019584,
init_shuffle_ens,pinned_dE,r2,0.926981,
init_shuffle_ens,pinned_dE,n_obs,1804,
init_shuffle_ens,pinned_dE,n_params,8,
