strategy,L0,c,r_P,r_P_se,sigma
init_ens,0.0,3.698673e+01,0.122401,0.002621,0.005764
init_shuffle_ens,0.0,3.565796e+01,0.120327,0.003157,0.006943
init_ens,2.0,1.165592e+02,0.223615,0.004274,0.009398
init_shuffle_ens,2.0,1.093398e+02,0.219983,0.005561,0.012229
init_ens,2.5,2.565131e+02,0.282764,0.005813,0.012784
init_shuffle_ens,2.5,2.369367e+02,0.278247,0.007411,0.016298
init_ens,3.0,1.130996e+03,0.386523,0.010360,0.022783
init_shuffle_ens,3.0,1.016798e+03,0.380449,0.012094,0.026596
init_ens,3.5,4.418330e+04,0.625824,0.030386,0.066821
init_shuffle_ens,3.5,3.712811e+04,0.615828,0.031462,0.069187
init_ens,4.0,nan,nan,nan,nan
init_shuffle_ens,4.0,nan,nan,nan,nan
