strategy,fit,param,value,se
init_ens,point,alpha,1.346856,0.117550
init_ens,point,beta,0.122679,0.056503
init_ens,point,gamma,0.814420,0.044171
init_ens,point,a,1.774492,0.047705
init_ens,point,b,1.249416,0.075295
init_ens,point,delta_s,1.105261,0.029983
init_ens,point,sigma2,3.293172,0.116344
init_ens,bootstrap,alpha,1.346228,0.005549
init_ens,bootstrap,beta,0.129854,0.007969
init_ens,bootstrap,gamma,0.810893,0.003820
init_ens,bootstrap,a,1.776077,0.003796
init_ens,bootstrap,b,1.245271,0.007874
init_ens,bootstrap,delta_s,1.107134,0.001991
init_ens,bootstrap,sigma2,3.294277,0.006835
init_ens,point,r2,0.942718,
init_ens,point,sigma,0.051061,
init_ens,point,n_obs,870,
init_shuffle_ens,point,alpha,1.319615,0.112201
init_shuffle_ens,point,beta,0.007076,0.056770
init_shuffle_ens,point,gamma,0.915438,0.047527
init_shuffle_ens,point,a,1.796468,0.047680
init_shuffle_ens,point,b,1.241285,0.074121
init_shuffle_ens,point,delta_s,1.051445,0.028701
init_shuffle_ens,point,sigma2,3.352219,0.108561
init_shuffle_ens,bootstrap,alpha,1.321795,0.003864
init_shuffle_ens,bootstrap,beta,0.008044,0.005651
init_shuffle_ens,bootstrap,gamma,0.913970,0.003171
init_shuffle_ens,bootstrap,a,1.796957,0.002156
init_shuffle_ens,bootstrap,b,1.239900,0.004669
init_shuffle_ens,bootstrap,delta_s,1.052268,0.001485
init_shuffle_ens,bootstrap,sigma2,3.351613,0.003525
init_shuffle_ens,point,r2,0.942439,
init_shuffle_ens,point,sigma,0.051356,
init_shuffle_ens,point,n_obs,870,
