variant,depth,site,layer,rms
as-is,4,resid,0,1.099970
as-is,4,resid,1,1.200078
as-is,4,resid,2,2.500342
as-is,4,resid,3,3.700126
as-is,4,attn,0,0.008937
as-is,4,attn,1,0.008785
as-is,4,attn,2,0.008744
as-is,4,attn,3,0.008723
as-is,4,mlp,0,0.004001
as-is,4,mlp,1,0.003958
as-is,4,mlp,2,0.004022
as-is,4,mlp,3,0.004088
fixed,4,resid,0,1.099788
fixed,4,resid,1,1.199792
fixed,4,resid,2,2.499682
fixed,4,resid,3,3.699427
fixed,4,attn,0,0.009089
fixed,4,attn,1,0.009672
fixed,4,attn,2,0.009576
fixed,4,attn,3,0.009607
fixed,4,mlp,0,0.003935
fixed,4,mlp,1,0.004015
fixed,4,mlp,2,0.003918
fixed,4,mlp,3,0.003887
as-is,8,resid,0,1.099852
as-is,8,resid,1,1.199865
as-is,8,resid,2,1.299791
as-is,8,resid,3,1.399718
as-is,8,resid,4,2.899487
as-is,8,resid,5,4.299263
as-is,8,resid,6,5.599013
as-is,8,resid,7,6.798773
as-is,8,attn,0,0.009890
as-is,8,attn,1,0.009970
as-is,8,attn,2,0.008762
as-is,8,attn,3,0.009158
as-is,8,attn,4,0.009367
as-is,8,attn,5,0.009500
as-is,8,attn,6,0.009445
as-is,8,attn,7,0.009551
as-is,8,mlp,0,0.003950
as-is,8,mlp,1,0.003921
as-is,8,mlp,2,0.003944
as-is,8,mlp,3,0.004027
as-is,8,mlp,4,0.004125
as-is,8,mlp,5,0.003984
as-is,8,mlp,6,0.004070
as-is,8,mlp,7,0.003841
fixed,8,resid,0,1.049758
fixed,8,resid,1,1.099787
fixed,8,resid,2,1.149732
fixed,8,resid,3,1.199774
fixed,8,resid,4,1.849548
fixed,8,resid,5,2.474394
fixed,8,resid,6,3.074410
fixed,8,resid,7,3.649152
fixed,8,attn,0,0.009451
fixed,8,attn,1,0.009143
fixed,8,attn,2,0.009069
fixed,8,attn,3,0.009805
fixed,8,attn,4,0.009333
fixed,8,attn,5,0.010407
fixed,8,attn,6,0.009096
fixed,8,attn,7,0.009941
fixed,8,mlp,0,0.003962
fixed,8,mlp,1,0.004002
fixed,8,mlp,2,0.003889
fixed,8,mlp,3,0.003987
fixed,8,mlp,4,0.003937
fixed,8,mlp,5,0.003925
fixed,8,mlp,6,0.003934
fixed,8,mlp,7,0.004060
as-is,16,resid,0,1.099872
as-is,16,resid,1,1.199859
as-is,16,resid,2,1.299845
as-is,16,resid,3,1.399843
as-is,16,resid,4,1.499838
as-is,16,resid,5,1.599826
as-is,16,resid,6,1.699785
as-is,16,resid,7,1.799783
as-is,16,resid,8,3.699583
as-is,16,resid,9,5.499339
as-is,16,resid,10,7.199150
as-is,16,resid,11,8.798916
as-is,16,resid,12,10.298728
as-is,16,resid,13,11.698578
as-is,16,resid,14,12.998443
as-is,16,resid,15,14.198322
as-is,16,attn,0,0.009521
as-is,16,attn,1,0.009691
as-is,16,attn,2,0.009661
as-is,16,attn,3,0.009014
as-is,16,attn,4,0.008963
as-is,16,attn,5,0.009274
as-is,16,attn,6,0.009421
as-is,16,attn,7,0.008832
as-is,16,attn,8,0.008985
as-is,16,attn,9,0.009165
as-is,16,attn,10,0.008693
as-is,16,attn,11,0.008921
as-is,16,attn,12,0.008961
as-is,16,attn,13,0.008397
as-is,16,attn,14,0.009388
as-is,16,attn,15,0.008881
as-is,16,mlp,0,0.003967
as-is,16,mlp,1,0.004016
as-is,16,mlp,2,0.004012
as-is,16,mlp,3,0.003943
as-is,16,mlp,4,0.003923
as-is,16,mlp,5,0.004137
as-is,16,mlp,6,0.003980
as-is,16,mlp,7,0.003937
as-is,16,mlp,8,0.004002
as-is,16,mlp,9,0.004023
as-is,16,mlp,10,0.003923
as-is,16,mlp,11,0.003996
as-is,16,mlp,12,0.003999
as-is,16,mlp,13,0.003950
as-is,16,mlp,14,0.003979
as-is,16,mlp,15,0.003845
fixed,16,resid,0,1.024876
fixed,16,resid,1,1.049852
fixed,16,resid,2,1.074873
fixed,16,resid,3,1.099897
fixed,16,resid,4,1.124865
fixed,16,resid,5,1.149841
fixed,16,resid,6,1.174833
fixed,16,resid,7,1.199839
fixed,16,resid,8,1.524790
fixed,16,resid,9,1.843502
fixed,16,resid,10,2.155953
fixed,16,resid,11,2.462190
fixed,16,resid,12,2.762135
fixed,16,resid,13,3.055884
fixed,16,resid,14,3.343298
fixed,16,resid,15,3.624479
fixed,16,attn,0,0.008681
fixed,16,attn,1,0.009007
fixed,16,attn,2,0.009284
