variant,depth,width,step,resid_rms
as-is,4,64,0,2.124819
as-is,4,64,1,2.221344
as-is,4,64,2,2.306179
as-is,4,64,3,2.386663
as-is,4,64,4,2.469255
as-is,4,64,5,2.537928
as-is,4,128,0,2.124501
as-is,4,128,1,2.031490
as-is,4,128,2,1.940004
as-is,4,128,3,1.863025
as-is,4,128,4,1.781807
as-is,4,128,5,1.721245
as-is,4,256,0,2.125013
as-is,4,256,1,2.220211
as-is,4,256,2,2.306153
as-is,4,256,3,2.395813
as-is,4,256,4,2.480487
as-is,4,256,5,2.554013
as-is,4,512,0,2.124594
as-is,4,512,1,2.031631
as-is,4,512,2,1.976906
as-is,4,512,3,1.983878
as-is,4,512,4,1.949621
as-is,4,512,5,1.897499
as-is,8,64,0,3.074557
as-is,8,64,1,3.281885
as-is,8,64,2,3.225938
as-is,8,64,3,3.105700
as-is,8,64,4,3.000963
as-is,8,64,5,2.989649
as-is,8,128,0,3.074366
as-is,8,128,1,2.869710
as-is,8,128,2,2.973354
as-is,8,128,3,3.120381
as-is,8,128,4,3.262999
as-is,8,128,5,3.420354
as-is,8,256,0,3.074751
as-is,8,256,1,3.284724
as-is,8,256,2,3.493837
as-is,8,256,3,3.573852
as-is,8,256,4,3.699207
as-is,8,256,5,3.819594
as-is,8,512,0,3.074417
as-is,8,512,1,2.868176
as-is,8,512,2,2.909852
as-is,8,512,3,3.026955
as-is,8,512,4,3.001790
as-is,8,512,5,2.904863
as-is,16,64,0,5.374110
as-is,16,64,1,4.848265
as-is,16,64,2,4.336421
as-is,16,64,3,3.882212
as-is,16,64,4,3.744023
as-is,16,64,5,3.803372
as-is,16,128,0,5.374027
as-is,16,128,1,5.903536
as-is,16,128,2,6.424596
as-is,16,128,3,6.462495
as-is,16,128,4,6.526017
as-is,16,128,5,6.411072
as-is,16,256,0,5.374299
as-is,16,256,1,4.849639
as-is,16,256,2,4.943286
as-is,16,256,3,5.207047
as-is,16,256,4,5.285383
as-is,16,256,5,5.168229
as-is,16,512,0,5.374059
as-is,16,512,1,5.904355
as-is,16,512,2,6.397548
as-is,16,512,3,6.608109
as-is,16,512,4,6.931529
as-is,16,512,5,7.304974
as-is,32,64,0,11.573160
as-is,32,64,1,13.150284
as-is,32,64,2,12.896175
as-is,32,64,3,11.958088
as-is,32,64,4,11.477423
as-is,32,64,5,10.664771
as-is,32,128,0,11.573106
as-is,32,128,1,13.154313
as-is,32,128,2,14.559115
as-is,32,128,3,14.124983
as-is,32,128,4,13.255177
as-is,32,128,5,13.732247
as-is,32,256,0,11.573235
as-is,32,256,1,13.140340
as-is,32,256,2,14.697367
as-is,32,256,3,16.248170
as-is,32,256,4,16.617689
as-is,32,256,5,16.584611
as-is,32,512,0,11.573099
as-is,32,512,1,13.164588
