ladder,variant,depth,width,lr_multiplier,loss
depth,as-is,4,64,1.0,3.343445
depth,as-is,4,64,1.4142,3.268226
depth,as-is,4,64,2.0,3.221149
depth,as-is,4,64,2.8284,3.201441
depth,as-is,4,64,4.0,3.209813
depth,as-is,4,64,5.6569,3.275187
depth,as-is,4,64,8.0,3.436400
depth,as-is,8,64,1.0,3.301475
depth,as-is,8,64,1.4142,3.248563
depth,as-is,8,64,2.0,3.217013
depth,as-is,8,64,2.8284,3.215326
depth,as-is,8,64,4.0,3.219398
depth,as-is,8,64,5.6569,3.462824
depth,as-is,8,64,8.0,3.486563
depth,as-is,16,64,1.0,3.286403
depth,as-is,16,64,1.4142,3.218864
depth,as-is,16,64,2.0,3.213035
depth,as-is,16,64,2.8284,3.215440
depth,as-is,16,64,4.0,3.206966
depth,as-is,16,64,5.6569,3.228781
depth,as-is,16,64,8.0,3.696704
depth,as-is,32,64,1.0,3.282895
depth,as-is,32,64,1.4142,3.198932
depth,as-is,32,64,2.0,3.226661
depth,as-is,32,64,2.8284,3.209674
depth,as-is,32,64,4.0,3.197299
depth,as-is,32,64,5.6569,3.230030
depth,as-is,32,64,8.0,3.255496
depth,fixed,4,64,1.0,3.343445
depth,fixed,4,64,1.4142,3.268226
depth,fixed,4,64,2.0,3.221150
depth,fixed,4,64,2.8284,3.201443
depth,fixed,4,64,4.0,3.209793
depth,fixed,4,64,5.6569,3.275099
depth,fixed,4,64,8.0,3.436280
depth,fixed,8,64,1.0,3.331567
depth,fixed,8,64,1.4142,3.259832
depth,fixed,8,64,2.0,3.224255
depth,fixed,8,64,2.8284,3.221605
depth,fixed,8,64,4.0,3.219403
depth,fixed,8,64,5.6569,3.467647
depth,fixed,8,64,8.0,3.545120
depth,fixed,16,64,1.0,3.334902
depth,fixed,16,64,1.4142,3.265767
depth,fixed,16,64,2.0,3.233279
depth,fixed,16,64,2.8284,3.222620
depth,fixed,16,64,4.0,3.240256
depth,fixed,16,64,5.6569,3.283975
depth,fixed,16,64,8.0,3.742040
depth,fixed,32,64,1.0,3.324758
depth,fixed,32,64,1.4142,3.267040
depth,fixed,32,64,2.0,3.248417
depth,fixed,32,64,2.8284,3.277285
depth,fixed,32,64,4.0,3.284685
depth,fixed,32,64,5.6569,3.354957
depth,fixed,32,64,8.0,3.733384
width,as-is,4,64,1.0,3.343445
width,as-is,4,64,1.4142,3.268226
width,as-is,4,64,2.0,3.221150
width,as-is,4,64,2.8284,3.201444
width,as-is,4,64,4.0,3.209799
width,as-is,4,64,5.6569,3.275060
width,as-is,4,64,8.0,3.436580
width,as-is,4,128,1.0,3.252764
width,as-is,4,128,1.4142,3.177263
width,as-is,4,128,2.0,3.135332
width,as-is,4,128,2.8284,3.117207
width,as-is,4,128,4.0,3.120562
width,as-is,4,128,5.6569,3.178666
width,as-is,4,128,8.0,3.425252
width,as-is,4,256,1.0,3.208904
width,as-is,4,256,1.4142,3.134320
width,as-is,4,256,2.0,3.084558
width,as-is,4,256,2.8284,3.060402
width,as-is,4,256,4.0,3.056339
width,as-is,4,256,5.6569,3.076754
width,as-is,4,256,8.0,3.118308
width,as-is,4,512,1.0,3.199192
width,as-is,4,512,1.4142,3.108717
width,as-is,4,512,2.0,3.055207
width,as-is,4,512,2.8284,3.034687
width,as-is,4,512,4.0,3.044512
width,as-is,4,512,5.6569,3.089414
width,as-is,4,512,8.0,3.144811
width,fixed,4,64,1.0,3.343445
width,fixed,4,64,1.4142,3.268226
width,fixed,4,64,2.0,3.221150
width,fixed,4,64,2.8284,3.201442
width,fixed,4,64,4.0,3.209803
width,fixed,4,64,5.6569,3.275217
width,fixed,4,64,8.0,3.436008
width,fixed,4,128,1.0,3.252764
width,fixed,4,128,1.4142,3.177263
width,fixed,4,128,2.0,3.135332
width,fixed,4,128,2.8284,3.117207
width,fixed,4,128,4.0,3.120566
width,fixed,4,128,5.6569,3.178633
width,fixed,4,128,8.0,3.425121
width,fixed,4,256,1.0,3.208904
width,fixed,4,256,1.4142,3.134320
width,fixed,4,256,2.0,3.084558
width,fixed,4,256,2.8284,3.060402
width,fixed,4,256,4.0,3.056338
width,fixed,4,256,5.6569,3.076754
width,fixed,4,256,8.0,3.118340
width,fixed,4,512,1.0,3.199192
width,fixed,4,512,1.4142,3.108717
width,fixed,4,512,2.0,3.055207
width,fixed,4,512,2.8284,3.034687
width,fixed,4,512,4.0,3.044512
width,fixed,4,512,5.6569,3.088156
width,fixed,4,512,8.0,3.144795
