variant,depth,lr_mult,seed,loss
broken,4,1.41,0,1.840292
broken,4,2.83,1,1.793961
broken,4,5.66,2,1.779788
broken,8,0.71,3,1.955531
broken,8,2.0,0,1.812583
broken,8,4.0,1,1.783758
broken,8,8.0,2,1.781617
broken,16,1.0,3,1.885639
broken,16,2.83,0,1.796157
broken,16,5.66,1,1.778259
broken,32,0.71,2,1.952701
broken,32,1.41,3,1.840159
broken,32,4.0,0,1.785146
broken,32,8.0,1,1.778106
linear,4,1.0,2,1.878324
linear,4,2.0,3,1.814476
linear,4,5.66,0,1.780672
linear,8,0.71,1,1.952252
linear,8,1.41,2,1.840866
linear,8,2.83,3,1.795935
linear,8,8.0,0,1.783378
linear,16,1.0,1,1.879166
linear,16,2.0,2,1.811613
linear,16,4.0,3,1.786581
linear,32,0.71,0,1.951508
linear,32,1.41,1,1.838439
linear,32,2.83,2,1.795176
linear,32,5.66,3,1.784454
logexp,4,1.0,0,1.880519
logexp,4,2.0,1,1.810361
logexp,4,4.0,2,1.786646
logexp,4,8.0,3,1.782749
logexp,8,1.41,0,1.83588
logexp,8,2.83,1,1.795824
logexp,8,5.66,2,1.782923
logexp,16,0.71,3,1.95922
logexp,16,2.0,0,1.809775
logexp,16,4.0,1,1.78552
logexp,16,8.0,2,1.780348
logexp,32,1.0,3,1.884919
logexp,32,2.83,0,1.79371
logexp,32,5.66,1,1.780864
broken,4,1.0,0,1.881869
broken,4,2.0,1,1.811483
broken,4,4.0,2,1.783648
broken,4,8.0,3,1.78326
broken,8,1.41,0,1.83748
broken,8,2.83,1,1.794751
broken,8,5.66,2,1.780275
broken,16,0.71,3,1.958357
broken,16,2.0,0,1.811568
broken,16,4.0,1,1.783709
broken,16,8.0,2,1.779341
broken,32,1.0,3,1.884244
broken,32,2.83,0,1.794878
broken,32,5.66,1,1.779149
linear,4,0.71,2,1.947959
linear,4,1.41,3,1.842608
linear,4,4.0,0,1.78532
linear,4,8.0,1,1.782404
linear,8,1.0,2,1.882042
linear,8,2.0,3,1.814829
linear,8,5.66,0,1.781755
linear,16,0.71,1,1.950409
linear,16,1.41,2,1.838215
linear,16,2.83,3,1.796814
linear,16,8.0,0,1.782792
linear,32,1.0,1,1.879824
linear,32,2.0,2,1.813591
linear,32,4.0,3,1.787247
logexp,4,0.71,0,1.954211
logexp,4,1.41,1,1.835557
logexp,4,2.83,2,1.795343
logexp,4,5.66,3,1.784963
logexp,8,1.0,0,1.879221
logexp,8,2.0,1,1.810128
logexp,8,4.0,2,1.787448
logexp,8,8.0,3,1.781023
logexp,16,1.41,0,1.836381
logexp,16,2.83,1,1.794129
logexp,16,5.66,2,1.781435
logexp,32,0.71,3,1.958095
logexp,32,2.0,0,1.808661
logexp,32,4.0,1,1.785324
logexp,32,8.0,2,1.779208
broken,4,1.0,1,1.879258
broken,4,2.0,2,1.811494
broken,4,4.0,3,1.786786
broken,8,0.71,0,1.952023
broken,8,1.41,1,1.837403
broken,8,2.83,2,1.79502
broken,8,5.66,3,1.781489
broken,16,1.0,0,1.87922
broken,16,2.0,1,1.809292
broken,16,4.0,2,1.783771
broken,16,8.0,3,1.781094
broken,32,1.41,0,1.835418
broken,32,2.83,1,1.794672
broken,32,5.66,2,1.780359
linear,4,0.71,3,1.956426
linear,4,2.0,0,1.813432
linear,4,4.0,1,1.784648
linear,4,8.0,2,1.780533
linear,8,1.0,3,1.884339
linear,8,2.83,0,1.794692
linear,8,5.66,1,1.781602
linear,16,0.71,2,1.950952
linear,16,1.41,3,1.844397
linear,16,4.0,0,1.784977
linear,16,8.0,1,1.783498
linear,32,1.0,2,1.882532
linear,32,2.0,3,1.815637
linear,32,5.66,0,1.783161
logexp,4,0.71,1,1.949459
logexp,4,1.41,2,1.834966
logexp,4,2.83,3,1.798744
logexp,4,8.0,0,1.780416
logexp,8,1.0,1,1.879748
logexp,8,2.0,2,1.811109
logexp,8,4.0,3,1.788907
logexp,16,0.71,0,1.951684
logexp,16,1.41,1,1.834775
logexp,16,2.83,2,1.793844
logexp,16,5.66,3,1.78433
logexp,32,1.0,0,1.878825
logexp,32,2.0,1,1.809306
logexp,32,4.0,2,1.784547
logexp,32,8.0,3,1.780759
broken,4,1.0,3,1.8851
broken,4,2.83,0,1.794565
broken,4,5.66,1,1.780557
broken,8,0.71,2,1.951864
broken,8,1.41,3,1.840627
broken,8,4.0,0,1.785131
broken,8,8.0,1,1.779813
broken,16,1.0,2,1.878207
broken,16,2.0,3,1.814915
broken,16,5.66,0,1.779008
broken,32,0.71,1,1.950138
broken,32,1.41,2,1.83765
broken,32,2.83,3,1.796574
broken,32,8.0,0,1.780042
linear,4,1.0,1,1.879258
linear,4,2.0,2,1.811494
linear,4,4.0,3,1.786786
linear,8,0.71,0,1.952583
linear,8,1.41,1,1.839328
linear,8,2.83,2,1.794435
linear,8,5.66,3,1.782589
linear,16,1.0,0,1.881058
linear,16,2.0,1,1.810777
linear,16,4.0,2,1.784544
linear,16,8.0,3,1.7845
linear,32,1.41,0,1.838913
linear,32,2.83,1,1.795288
linear,32,5.66,2,1.78251
logexp,4,0.71,3,1.956139
logexp,4,2.0,0,1.81035
logexp,4,4.0,1,1.787358
logexp,4,8.0,2,1.781396
logexp,8,1.0,3,1.883302
logexp,8,2.83,0,1.796457
logexp,8,5.66,1,1.782761
logexp,16,0.71,2,1.95074
logexp,16,1.41,3,1.841524
logexp,16,4.0,0,1.786478
logexp,16,8.0,1,1.780347
logexp,32,1.0,2,1.881725
logexp,32,2.0,3,1.81286
logexp,32,5.66,0,1.780645
broken,4,1.0,2,1.878324
broken,4,2.0,3,1.814476
broken,4,5.66,0,1.780672
broken,8,0.71,1,1.95156
broken,8,1.41,2,1.83903
broken,8,2.83,3,1.796276
broken,8,8.0,0,1.782832
broken,16,1.0,1,1.877828
broken,16,2.0,2,1.80952
broken,16,4.0,3,1.786134
broken,32,0.71,0,1.950469
broken,32,1.41,1,1.835519
broken,32,2.83,2,1.79439
broken,32,5.66,3,1.780604
linear,4,1.0,0,1.881869
linear,4,2.0,1,1.811483
linear,4,4.0,2,1.783648
linear,4,8.0,3,1.78326
linear,8,1.41,0,1.839545
linear,8,2.83,1,1.794089
linear,8,5.66,2,1.781797
linear,16,0.71,3,1.959385
linear,16,2.0,0,1.813336
linear,16,4.0,1,1.784524
linear,16,8.0,2,1.784504
linear,32,1.0,3,1.886237
linear,32,2.83,0,1.794533
linear,32,5.66,1,1.783958
logexp,4,0.71,2,1.947792
logexp,4,1.41,3,1.840084
logexp,4,4.0,0,1.787773
logexp,4,8.0,1,1.781113
logexp,8,1.0,2,1.880882
logexp,8,2.0,3,1.812773
logexp,8,5.66,0,1.784025
logexp,16,0.71,1,1.950327
logexp,16,1.41,2,1.835265
logexp,16,2.83,3,1.798212
logexp,16,8.0,0,1.779299
logexp,32,1.0,1,1.878938
logexp,32,2.0,2,1.810428
logexp,32,4.0,3,1.787866
broken,4,0.71,2,1.947959
broken,4,1.41,3,1.842608
broken,4,4.0,0,1.78532
broken,4,8.0,1,1.782404
broken,8,1.0,2,1.881197
broken,8,2.0,3,1.814157
broken,8,5.66,0,1.781327
broken,16,0.71,1,1.94964
broken,16,1.41,2,1.835284
broken,16,2.83,3,1.796858
broken,16,8.0,0,1.777509
broken,32,1.0,1,1.878339
broken,32,2.0,2,1.810683
broken,32,4.0,3,1.786276
linear,4,0.71,0,1.954505
linear,4,1.41,1,1.83849
linear,4,2.83,2,1.792937
linear,4,5.66,3,1.783393
linear,8,1.0,0,1.880598
linear,8,2.0,1,1.812503
linear,8,4.0,2,1.785835
linear,8,8.0,3,1.782142
linear,16,1.41,0,1.839958
linear,16,2.83,1,1.793923
linear,16,5.66,2,1.781829
linear,32,0.71,3,1.958294
linear,32,2.0,0,1.812122
linear,32,4.0,1,1.786367
linear,32,8.0,2,1.789688
logexp,4,1.0,3,1.884268
logexp,4,2.83,0,1.796492
logexp,4,5.66,1,1.782461
logexp,8,0.71,2,1.952125
logexp,8,1.41,3,1.839718
logexp,8,4.0,0,1.788063
logexp,8,8.0,1,1.781352
logexp,16,1.0,2,1.878568
logexp,16,2.0,3,1.813991
logexp,16,5.66,0,1.782156
logexp,32,0.71,1,1.950907
logexp,32,1.41,2,1.838087
logexp,32,2.83,3,1.797155
logexp,32,8.0,0,1.779991
broken,4,0.71,3,1.956426
broken,4,2.0,0,1.813432
broken,4,4.0,1,1.784648
broken,4,8.0,2,1.780533
broken,8,1.0,3,1.88348
broken,8,2.83,0,1.795992
broken,8,5.66,1,1.780352
broken,16,0.71,2,1.950063
broken,16,1.41,3,1.841813
broken,16,4.0,0,1.787056
broken,16,8.0,1,1.777904
broken,32,1.0,2,1.881072
broken,32,2.0,3,1.813388
broken,32,5.66,0,1.779546
linear,4,0.71,1,1.94961
linear,4,1.41,2,1.837972
linear,4,2.83,3,1.796037
linear,4,8.0,0,1.782699
linear,8,1.0,1,1.880732
linear,8,2.0,2,1.813456
linear,8,4.0,3,1.786343
linear,16,0.71,0,1.95193
linear,16,1.41,1,1.837552
linear,16,2.83,2,1.793431
linear,16,5.66,3,1.78271
linear,32,1.0,0,1.880363
linear,32,2.0,1,1.812343
linear,32,4.0,2,1.785012
linear,32,8.0,3,1.784243
logexp,4,1.41,0,1.836691
logexp,4,2.83,1,1.795761
logexp,4,5.66,2,1.782751
logexp,8,0.71,3,1.955876
logexp,8,2.0,0,1.809896
logexp,8,4.0,1,1.786986
logexp,8,8.0,2,1.78073
logexp,16,1.0,3,1.8859
logexp,16,2.83,0,1.795101
logexp,16,5.66,1,1.782149
logexp,32,0.71,2,1.953577
logexp,32,1.41,3,1.840417
logexp,32,4.0,0,1.784876
logexp,32,8.0,1,1.779769
broken,4,0.71,1,1.94961
broken,4,1.41,2,1.837972
broken,4,2.83,3,1.796037
broken,4,8.0,0,1.782699
broken,8,1.0,1,1.880012
broken,8,2.0,2,1.813217
broken,8,4.0,3,1.785917
broken,16,0.71,0,1.950927
broken,16,1.41,1,1.834994
broken,16,2.83,2,1.794118
broken,16,5.66,3,1.780437
broken,32,1.0,0,1.878338
broken,32,2.0,1,1.809559
broken,32,4.0,2,1.785345
broken,32,8.0,3,1.783057
linear,4,1.41,0,1.840292
linear,4,2.83,1,1.793961
linear,4,5.66,2,1.779788
linear,8,0.71,3,1.956023
linear,8,2.0,0,1.813373
linear,8,4.0,1,1.785683
linear,8,8.0,2,1.782109
linear,16,1.0,3,1.88707
linear,16,2.83,0,1.795941
linear,16,5.66,1,1.780629
linear,32,0.71,2,1.953722
linear,32,1.41,3,1.843355
linear,32,4.0,0,1.787426
linear,32,8.0,1,1.788173
logexp,4,1.0,2,1.877167
logexp,4,2.0,3,1.813675
logexp,4,5.66,0,1.783954
logexp,8,0.71,1,1.95208
logexp,8,1.41,2,1.837719
logexp,8,2.83,3,1.797553
logexp,8,8.0,0,1.781243
logexp,16,1.0,1,1.878111
logexp,16,2.0,2,1.808801
logexp,16,4.0,3,1.788829
logexp,32,0.71,0,1.951239
logexp,32,1.41,1,1.835823
logexp,32,2.83,2,1.793851
logexp,32,5.66,3,1.782735
broken,4,0.71,0,1.954505
broken,4,1.41,1,1.83849
broken,4,2.83,2,1.792937
broken,4,5.66,3,1.783393
broken,8,1.0,0,1.87967
broken,8,2.0,1,1.812232
broken,8,4.0,2,1.784845
broken,8,8.0,3,1.783115
broken,16,1.41,0,1.836912
broken,16,2.83,1,1.794387
broken,16,5.66,2,1.778819
broken,32,0.71,3,1.956941
broken,32,2.0,0,1.809287
broken,32,4.0,1,1.785418
broken,32,8.0,2,1.777104
linear,4,1.0,3,1.8851
linear,4,2.83,0,1.794565
linear,4,5.66,1,1.780557
linear,8,0.71,2,1.95229
linear,8,1.41,3,1.842208
linear,8,4.0,0,1.785376
linear,8,8.0,1,1.782219
linear,16,1.0,2,1.87968
linear,16,2.0,3,1.815995
linear,16,5.66,0,1.780502
linear,32,0.71,1,1.950997
linear,32,1.41,2,1.840496
linear,32,2.83,3,1.797213
linear,32,8.0,0,1.784868
logexp,4,1.0,1,1.878135
logexp,4,2.0,2,1.809749
logexp,4,4.0,3,1.788651
logexp,8,0.71,0,1.952252
logexp,8,1.41,1,1.836274
logexp,8,2.83,2,1.796146
logexp,8,5.66,3,1.78443
logexp,16,1.0,0,1.879462
logexp,16,2.0,1,1.808459
logexp,16,4.0,2,1.7851
logexp,16,8.0,3,1.781528
logexp,32,1.41,0,1.835434
logexp,32,2.83,1,1.794384
logexp,32,5.66,2,1.779509
