section,beta_or_variant,seed,step,value
beta_sweep,0.5,,0,1.430077
beta_sweep,0.5,,40,1.356521
beta_sweep,0.65,,0,1.199999
beta_sweep,0.65,,40,1.169145
beta_sweep,0.75,,0,1.086153
beta_sweep,0.75,,40,1.086148
beta_sweep,0.85,,0,1.033947
beta_sweep,0.85,,40,1.091675
beta_sweep,1.0,,0,1.142837
beta_sweep,1.0,,40,1.200924
full_model,broken,7,0,5.447558
full_model,broken,7,5,4.656179
full_model,broken,7,10,2.575900
full_model,broken,7,20,2.379669
full_model,broken,7,30,3.146176
full_model,broken,7,40,3.866989
full_model,broken,17,0,5.446563
full_model,broken,17,5,4.542093
full_model,broken,17,10,2.628077
full_model,broken,17,20,2.743042
full_model,broken,17,30,3.592621
full_model,broken,17,40,4.094486
full_model,broken,27,0,5.447315
full_model,broken,27,5,2.874047
full_model,broken,27,10,1.281630
full_model,broken,27,20,2.250225
full_model,broken,27,30,3.162638
full_model,broken,27,40,3.853712
full_model,linear,7,0,1.173561
full_model,linear,7,5,1.289676
full_model,linear,7,10,1.314982
full_model,linear,7,20,1.360041
full_model,linear,7,30,1.392674
full_model,linear,7,40,1.366953
full_model,linear,17,0,1.173766
full_model,linear,17,5,1.266502
full_model,linear,17,10,1.265500
full_model,linear,17,20,1.304668
full_model,linear,17,30,1.319945
full_model,linear,17,40,1.344918
full_model,linear,27,0,1.173613
full_model,linear,27,5,1.263365
full_model,linear,27,10,1.257020
full_model,linear,27,20,1.317019
full_model,linear,27,30,1.336910
full_model,linear,27,40,1.332819
full_model,combined,7,0,1.068685
full_model,combined,7,5,1.069263
full_model,combined,7,10,1.073061
full_model,combined,7,20,1.068251
full_model,combined,7,30,1.062861
full_model,combined,7,40,1.099168
full_model,combined,17,0,1.068629
full_model,combined,17,5,1.076163
full_model,combined,17,10,1.069442
full_model,combined,17,20,1.072457
full_model,combined,17,30,1.089879
full_model,combined,17,40,1.075425
full_model,combined,27,0,1.068684
full_model,combined,27,5,1.069951
full_model,combined,27,10,1.069667
full_model,combined,27,20,1.048627
full_model,combined,27,30,1.060310
full_model,combined,27,40,1.080366
