depth_L,width_W,N_params,N_params_M,nadir_epoch,nadir_step,min_val_loss
6,384,14155776,14.2,29.80,22735,4.1187
12,384,28311552,28.3,16.80,12816,4.0189
6,768,56623104,56.6,13.80,10527,3.9729
12,768,113246208,113.2,8.80,6712,3.9095
6,1152,127401984,127.4,9.80,7475,3.9125
18,768,169869312,169.9,7.00,5338,3.8967
6,1536,226492416,226.5,8.80,6712,3.9323
24,768,226492416,226.5,7.00,5338,3.8728
12,1152,254803968,254.8,7.00,5338,3.8746
12,1536,452984832,453.0,7.00,5338,3.8221
48,768,452984832,453.0,6.00,4575,3.8257
60,768,566231040,566.2,5.00,3812,3.8182
