row,curve,resource,nadir_step,min_val,n_fit_points,gamma,R2_powerlaw,kappa_per_step,R2_exponential,verdict,gamma_first_third,gamma_last_third
vary_P,P=10M,10000000,1067,5.1409,86,1.1144,0.9262,3.991e-04,0.6041,power,1.588,0.287
vary_P,P=20M,20000000,1677,4.7388,38,1.5628,0.9848,5.750e-04,0.8206,power,1.912,1.001
vary_P,P=30M,30000000,2440,4.5247,45,1.4411,0.9899,6.521e-04,0.8812,power,1.402,1.182
vary_P,P=40M,40000000,3354,4.2957,41,1.1536,0.9094,6.517e-04,0.9176,exponential,0.725,1.238
vary_P,P=50M,50000000,4194,4.1881,28,0.9063,0.8298,6.517e-04,0.9125,exponential,0.426,1.063
vary_P,P=60M,60000000,4422,4.1299,22,1.4276,0.9049,7.005e-04,0.8999,power,1.172,2.152
vary_P,P=70M,70000000,5260,4.0458,14,1.0155,0.8381,6.346e-04,0.8410,exponential,0.751,-0.093
vary_P,P=80M,80000000,5490,3.9970,11,0.1669,0.2977,1.790e-04,0.2912,unreliable,0.041,-2.954
vary_P,P=90M,90000000,6176,3.9466,7,,,,,too few points,,
vary_P,P=100M,100000000,7471,3.9057,2,,,,,too few points,,
vary_N,L6/W384,14155776,15868,4.0676,45,0.4608,0.3255,4.587e-05,0.3199,unreliable,0.485,0.350
vary_N,L12/W384,28311552,12816,4.0189,76,0.7537,0.6086,7.288e-05,0.6428,exponential,0.392,1.522
vary_N,L18/W384,42467328,9001,3.9501,96,1.0915,0.8471,8.418e-05,0.8435,power,0.874,1.020
vary_N,L6/W768,56623104,9764,3.9682,124,1.0274,0.9536,1.161e-04,0.9075,power,0.831,0.930
vary_N,L24/W384,56623104,10527,3.9627,108,0.9728,0.9073,9.748e-05,0.8856,power,0.780,0.891
vary_N,L12/W768,113246208,6712,3.9095,142,1.2358,0.9745,1.142e-04,0.8670,power,1.335,0.994
vary_N,L6/W1152,127401984,6712,3.9175,149,1.1971,0.9772,1.236e-04,0.8486,power,1.190,0.938
vary_N,L18/W768,169869312,5949,3.8894,156,1.0174,0.9536,1.145e-04,0.8526,power,0.846,0.894
vary_N,L6/W1536,226492416,6712,3.9215,151,1.2235,0.9708,1.356e-04,0.8372,power,1.131,0.979
vary_N,L24/W768,226492416,5338,3.8632,162,1.0124,0.9497,1.170e-04,0.8310,power,0.849,0.875
vary_N,L12/W1152,254803968,5338,3.8746,158,1.3064,0.9787,1.267e-04,0.8288,power,1.374,0.947
vary_N,L18/W1152,382205952,5338,3.8666,164,1.0644,0.9646,1.245e-04,0.8096,power,0.948,0.879
vary_N,L12/W1536,452984832,5338,3.8221,163,1.1177,0.9655,1.273e-04,0.8087,power,1.011,0.883
vary_N,L48/W768,452984832,4575,3.8109,168,1.0569,0.9653,1.178e-04,0.8038,power,0.960,0.836
vary_N,L24/W1152,509607936,4575,3.8031,168,1.1029,0.9666,1.220e-04,0.7924,power,1.025,0.816
vary_N,L60/W768,566231040,4575,3.7933,169,1.0336,0.9676,1.170e-04,0.7994,power,0.946,0.826
vary_N,L18/W1536,679477248,4575,3.8223,168,1.1351,0.9674,1.240e-04,0.7738,power,1.089,0.743
vary_N,L24/W1536,905969664,4575,3.7932,170,1.0726,0.9639,1.179e-04,0.7305,power,1.096,0.569
