P_M,n_cells,quantity,form,A,exponent,R2
100,18,min_val_loss,L*=A*N_M^-b,4.239455,0.016594,0.941839
100,18,nadir_epoch,E*=A*N_M^-b,43.635722,0.313511,0.937817
20,7,min_val_loss,L*=A*N_M^-b,5.063234,0.012984,0.766880
20,7,nadir_epoch,E*=A*N_M^-b,17.672225,0.087866,0.729573
10-100,10,min_val_loss_fixed_model,L*=A*P_M^-b,6.790786,0.121365,0.995909

P_M,L,W,N_M,min_val_loss,nadir_epoch,nadir_tokens_M
100,6,384,14.2,4.0676,20.8,2080
100,12,384,28.3,4.0189,16.8,1680
100,18,384,42.5,3.9501,11.8,1180
100,6,768,56.6,3.9682,12.8,1280
100,24,384,56.6,3.9627,13.8,1380
100,12,768,113.2,3.9095,8.8,880
100,6,1152,127.4,3.9175,8.8,880
100,18,768,169.9,3.8894,7.8,780
100,6,1536,226.5,3.9215,8.8,880
100,24,768,226.5,3.8632,7.0,700
100,12,1152,254.8,3.8746,7.0,700
100,18,1152,382.2,3.8666,7.0,700
100,12,1536,453.0,3.8221,7.0,700
100,48,768,453.0,3.8109,6.0,600
100,24,1152,509.6,3.8031,6.0,600
100,60,768,566.2,3.7933,6.0,600
100,18,1536,679.5,3.8223,6.0,600
100,24,1536,906.0,3.7932,6.0,600
20,12,384,28.3,4.8523,13.0,259
20,6,768,56.6,4.8436,13.0,259
20,12,768,113.2,4.7343,11.0,219
20,18,768,169.9,4.7013,11.0,219
20,24,768,226.5,4.6975,12.0,239
20,12,1152,254.8,4.7065,11.0,219
20,12,1536,453.0,4.7238,10.0,199
